iter	RMSE
0	76982.96742
1	76745.09186
2	76505.48225
3	76247.77449
4	76016.99864
5	75768.16071
6	75525.5089
7	75296.3697
8	75076.40912
9	74820.01315
10	74580.3193
11	74334.74281
12	74106.67128
13	73868.6745
14	73644.68946
15	73426.18713
16	73214.60894
17	72982.20586
18	72778.12275
19	72557.74742
20	72330.89366
21	72104.04848
22	71871.56037
23	71653.25253
24	71420.81308
25	71203.90718
26	70990.10604
27	70780.2602
28	70555.58864
29	70327.23332
30	70128.27835
31	69922.33677
32	69695.17956
33	69489.91431
34	69288.86806
35	69106.87385
36	68883.77133
37	68683.04456
38	68481.86631
39	68285.85761
40	68096.77193
41	67900.52988
42	67694.97858
43	67485.17958
44	67280.95038
45	67099.96968
46	66912.30101
47	66705.10875
48	66514.4646
49	66303.4513
50	66082.07196
51	65872.42547
52	65681.62527
53	65487.29777
54	65315.14826
55	65125.60387
56	64940.04145
57	64768.6988
58	64575.67111
59	64375.08854
60	64189.58301
61	63997.49208
62	63814.79272
63	63624.71091
64	63450.87748
65	63260.24557
66	63092.9462
67	62944.12226
68	62756.291
69	62585.02367
70	62402.41355
71	62226.49178
72	62076.89042
73	61898.0758
74	61740.62748
75	61557.07572
76	61370.73524
77	61214.64244
78	61037.60309
79	60872.33992
80	60700.27002
81	60516.66268
82	60354.33461
83	60179.62682
84	60014.69135
85	59856.401
86	59689.9477
87	59536.20449
88	59374.95656
89	59205.18697
90	59029.63089
91	58849.92251
92	58690.77552
93	58542.20573
94	58380.51892
95	58228.73685
96	58074.0602
97	57914.03985
98	57764.1688
99	57601.34212
100	57450.57242
101	57286.74594
102	57131.69244
103	56974.48111
104	56830.22512
105	56671.43329
106	56517.47971
107	56372.12273
108	56202.84674
109	56051.84124
110	55914.19188
111	55753.71545
112	55613.72131
113	55468.54735
114	55325.72599
115	55183.99943
116	55037.76011
117	54894.48454
118	54740.68463
119	54593.85752
120	54454.16534
121	54325.81791
122	54184.78248
123	54040.91947
124	53902.9103
125	53764.1908
126	53632.31883
127	53500.98334
128	53373.18773
129	53241.41761
130	53105.53444
131	52975.54242
132	52837.53552
133	52694.86199
134	52559.61666
135	52409.89107
136	52285.46561
137	52162.34952
138	52025.13912
139	51897.22111
140	51757.15949
141	51632.49583
142	51510.40535
143	51371.0886
144	51242.20791
145	51101.90681
146	50967.91668
147	50838.30401
148	50715.89303
149	50587.16774
150	50474.46517
151	50356.29437
152	50228.16229
153	50123.06454
154	50019.17992
155	49901.8458
156	49793.29126
157	49664.65583
158	49538.483
159	49419.86243
160	49311.90997
161	49196.26234
162	49093.97603
163	48989.53735
164	48878.66874
165	48764.34764
166	48657.1213
167	48547.78703
168	48442.69091
169	48329.11952
170	48215.4542
171	48112.8097
172	48004.054
173	47893.46945
174	47783.66002
175	47680.7475
176	47568.61285
177	47468.55584
178	47366.57804
179	47263.55801
180	47176.28606
181	47078.21391
182	46979.55637
183	46883.66652
184	46780.15709
185	46675.49024
186	46577.04078
187	46464.22656
188	46359.68552
189	46266.56742
190	46176.06258
191	46080.67868
192	45979.05341
193	45870.28773
194	45773.56465
195	45672.10915
196	45581.19058
197	45511.83288
198	45411.82724
199	45298.81573
200	45196.82441
201	45095.84843
202	45001.76812
203	44910.08711
204	44812.63669
205	44720.53347
206	44632.93537
207	44530.06114
208	44432.5921
209	44340.08913
210	44254.5216
211	44164.85712
212	44084.03346
213	43990.30742
214	43895.57657
215	43796.98514
216	43694.80595
217	43607.90732
218	43516.57814
219	43441.77703
220	43343.76004
221	43254.72675
222	43166.72392
223	43072.11295
224	42986.19613
225	42900.46419
226	42819.35573
227	42729.02185
228	42633.555
229	42543.00928
230	42464.65169
231	42374.68467
232	42293.77483
233	42196.61194
234	42117.09956
235	42036.47138
236	41959.28572
237	41891.76173
238	41807.66699
239	41721.25297
240	41629.25699
241	41555.1922
242	41481.56037
243	41397.93949
244	41309.02799
245	41242.24637
246	41156.0915
247	41071.24462
248	40990.35841
249	40927.18235
250	40844.00734
251	40758.11328
252	40688.55623
253	40614.94785
254	40540.08583
255	40467.15491
256	40398.00849
257	40311.52927
258	40238.62391
259	40172.95224
260	40087.48458
261	40008.69789
262	39928.12122
263	39849.7677
264	39777.99782
265	39698.50847
266	39616.72074
267	39544.34131
268	39472.10722
269	39400.76143
270	39324.58947
271	39254.79514
272	39186.17647
273	39126.44733
274	39057.43842
275	38985.17645
276	38903.11714
277	38825.71864
278	38752.62678
279	38682.44397
280	38613.68245
281	38550.18066
282	38485.01203
283	38412.81322
284	38344.2209
285	38280.16002
286	38219.34297
287	38151.93604
288	38083.6103
289	38015.21726
290	37946.45228
291	37884.26834
292	37815.14821
293	37752.24585
294	37697.59524
295	37625.56868
296	37564.21286
297	37494.5485
298	37428.93196
299	37363.96594
300	37303.56122
301	37231.5577
302	37168.36529
303	37107.81884
304	37050.71451
305	36981.17217
306	36919.59024
307	36861.3138
308	36796.08888
309	36737.01534
310	36682.55194
311	36629.20781
312	36570.05231
313	36510.04285
314	36451.98657
315	36387.8529
316	36330.85276
317	36269.6506
318	36209.91211
319	36156.69379
320	36098.71116
321	36035.17668
322	35972.91115
323	35911.52802
324	35848.40424
325	35790.46863
326	35732.51258
327	35671.25803
328	35610.15567
329	35546.13788
330	35485.12055
331	35430.49581
332	35373.82783
333	35326.56512
334	35274.39381
335	35222.67422
336	35166.60796
337	35113.65052
338	35059.33499
339	35002.37319
340	34958.17509
341	34913.07166
342	34857.85892
343	34806.77165
344	34742.56512
345	34684.66709
346	34629.47131
347	34574.46707
348	34519.56262
349	34474.77733
350	34422.77123
351	34372.0604
352	34318.29415
353	34276.74533
354	34217.35041
355	34160.75229
356	34111.96442
357	34061.70238
358	34010.48157
359	33958.70189
360	33910.7052
361	33872.70309
362	33824.45444
363	33774.6324
364	33729.81969
365	33688.51026
366	33626.18039
367	33573.50785
368	33524.24485
369	33471.16743
370	33423.94582
371	33367.73133
372	33319.11686
373	33270.19456
374	33224.79092
375	33184.65154
376	33138.6126
377	33091.26949
378	33044.3321
379	33001.58646
380	32947.92412
381	32903.58899
382	32857.67026
383	32802.48672
384	32753.36963
385	32706.75414
386	32653.61328
387	32606.92235
388	32556.23508
389	32508.91143
390	32463.9968
391	32407.98667
392	32356.63252
393	32299.00155
394	32261.47144
395	32208.43794
396	32161.59763
397	32124.1923
398	32080.88807
399	32032.87555
400	31988.13502
401	31947.46936
402	31905.35318
403	31868.71261
404	31829.22389
405	31790.4912
406	31750.7909
407	31706.36925
408	31664.68028
409	31626.34676
410	31581.85445
411	31540.80572
412	31501.70648
413	31459.13347
414	31419.0702
415	31381.57856
416	31342.18273
417	31295.48053
418	31255.31867
419	31219.25646
420	31186.19346
421	31138.88168
422	31088.36144
423	31045.26005
424	31004.74285
425	30958.49554
426	30918.42104
427	30884.2566
428	30848.98989
429	30813.91266
430	30781.19967
431	30738.95081
432	30703.4743
433	30667.07073
434	30625.25161
435	30587.14324
436	30535.85376
437	30485.15248
438	30437.01129
439	30396.62679
440	30353.4373
441	30306.0085
442	30262.81282
443	30232.78228
444	30194.35124
445	30150.24233
446	30100.4051
447	30054.57955
448	30014.09496
449	29979.19563
450	29938.32075
451	29903.43434
452	29858.58935
453	29810.03293
454	29760.93854
455	29721.60851
456	29683.62205
457	29637.67332
458	29602.49483
459	29566.88063
460	29525.63162
461	29484.36548
462	29439.4225
463	29405.97851
464	29369.61398
465	29325.86307
