iter	Passed	Remaining
0	169	1779772
1	202	1063331
2	235	823850
3	267	702310
4	299	629112
5	343	600517
6	379	568942
7	411	540155
8	442	515659
9	480	504556
10	512	488782
11	547	478791
12	579	467289
13	613	459635
14	642	449231
15	689	451862
16	709	437774
17	738	430302
18	768	423821
19	811	425110
20	889	444109
21	920	438616
22	953	434443
23	986	430602
24	1019	427150
25	1069	430889
26	1103	428002
27	1135	424629
28	1167	421718
29	1200	418801
30	1219	411869
31	1249	408881
32	1280	406308
33	1311	403745
34	1335	399347
35	1365	396891
36	1395	394591
37	1426	392673
38	1459	391554
39	1513	395702
40	1543	393694
41	1574	392099
42	1628	396044
43	1660	394652
44	1692	393147
45	1726	392283
46	1748	388937
47	1796	391239
48	1829	390269
49	1867	390406
50	1920	393437
51	1974	396752
52	2005	395279
53	2035	393846
54	2066	392370
55	2096	391053
56	2159	395674
57	2183	393188
58	2212	391550
59	2241	390075
60	2271	388688
61	2301	387533
62	2331	386240
63	2361	385144
64	2392	384080
65	2424	383341
66	2448	381256
67	2461	377656
68	2491	376594
69	2521	375670
70	2549	374555
71	2581	373819
72	2600	371405
73	2632	370886
74	2665	370501
75	2696	369913
76	2726	369005
77	2755	368179
78	2785	367387
79	2815	366655
80	2844	365863
81	2873	365075
82	2902	364327
83	2960	367052
84	2991	366594
85	3022	365946
86	3053	365426
87	3101	366934
88	3131	366361
89	3165	366130
90	3196	365673
91	3227	365099
92	3258	364618
93	3288	364098
94	3320	363685
95	3351	363238
96	3382	362757
97	3414	362474
98	3445	361968
99	3475	361400
100	3503	360755
101	3534	360282
102	3565	359897
103	3595	359404
104	3627	359133
105	3661	358985
106	3694	358818
107	3725	358446
108	3756	358065
109	3786	357689
110	3818	357344
111	3847	356900
112	3879	356594
113	3908	356061
114	3937	355605
115	3969	355315
116	4003	355264
117	4042	355682
118	4079	355878
119	4109	355466
120	4138	355026
121	4159	353799
122	4189	353491
123	4220	353157
124	4250	352795
125	4281	352476
126	4313	352278
127	4344	352005
128	4374	351698
129	4408	351687
130	4441	351549
131	4471	351195
132	4502	350944
133	4532	350623
134	4567	350698
135	4597	350330
136	4630	350281
137	4674	350981
138	4707	350879
139	4738	350618
140	4768	350319
141	4798	350055
142	4830	349836
143	4861	349630
144	4892	349372
145	4922	349093
146	4955	348976
147	4986	348788
148	5022	348920
149	5054	348732
150	5085	348510
151	5115	348253
152	5146	348015
153	5178	347905
154	5221	348474
155	5251	348229
156	5284	348152
157	5314	347887
158	5345	347638
159	5376	347477
160	5402	346903
161	5434	346775
162	5464	346572
163	5495	346370
164	5527	346212
165	5583	347588
166	5614	347418
167	5647	347327
168	5681	347282
169	5712	347107
170	5742	346896
171	5773	346653
172	5803	346446
173	5833	346213
174	5865	346046
175	5894	345746
176	5923	345444
177	5953	345246
178	5982	344970
179	6012	344726
180	6036	344172
181	6066	343918
182	6098	343817
183	6128	343607
184	6160	343506
185	6190	343283
186	6220	343078
187	6249	342815
188	6279	342561
189	6308	342337
190	6338	342131
191	6368	341913
192	6398	341681
193	6428	341519
194	6460	341432
195	6491	341242
196	6521	341057
197	6535	340039
198	6564	339788
199	6592	339502
200	6627	339582
201	6661	339588
202	6692	339492
203	6757	341076
204	6788	340912
205	6819	340773
206	6850	340614
207	6881	340493
208	6911	340338
209	6941	340144
210	6971	339947
211	7016	340504
212	7053	340654
213	7084	340519
214	7115	340374
215	7144	340170
216	7176	340055
217	7208	339981
218	7238	339835
219	7269	339682
220	7298	339455
221	7328	339276
222	7358	339129
223	7388	338941
224	7418	338764
225	7449	338637
226	7481	338600
227	7512	338436
228	7541	338226
229	7570	338029
230	7599	337848
231	7632	337794
232	7665	337758
233	7697	337694
234	7727	337531
235	7756	337331
236	7820	338654
237	7844	338236
238	7874	338074
239	7903	337860
240	7933	337704
241	7962	337532
242	7992	337379
243	8022	337196
244	8074	337957
245	8104	337806
246	8135	337715
247	8165	337545
248	8210	338003
249	8241	337891
250	8270	337698
251	8299	337517
252	8328	337331
253	8359	337206
254	8389	337075
255	8418	336885
256	8449	336767
257	8481	336685
258	8528	337212
259	8558	337068
260	8588	336939
261	8621	336879
262	8654	336850
263	8685	336775
264	8744	337736
265	8774	337571
266	8802	337364
267	8832	337201
268	8863	337090
269	8893	336966
270	8922	336793
271	8952	336653
272	8983	336525
273	9012	336345
274	9042	336208
275	9073	336101
276	9109	336209
277	9138	336033
278	9168	335876
279	9201	335842
280	9233	335775
281	9262	335632
282	9292	335476
283	9322	335346
284	9361	335527
285	9390	335351
286	9419	335202
287	9449	335055
288	9479	334931
289	9518	335129
290	9550	335069
291	9580	334926
292	9611	334841
293	9644	334791
294	9677	334762
295	9709	334706
296	9738	334567
297	9768	334417
298	9797	334265
299	9828	334152
300	9857	334010
301	9888	333918
302	9918	333791
303	9947	333647
304	9978	333540
305	10007	333397
306	10037	333256
307	10071	333265
308	10100	333126
309	10140	333343
310	10170	333220
311	10202	333164
312	10235	333127
313	10265	333014
314	10295	332878
